1,1,200,3.114135,0
2,1,200,0.751575,0
3,1,200,2.122828,0
4,1,200,0.388324,0
5,2,200,0.218680,0
6,2,200,0.230165,0
7,2,200,0.562418,0
8,2,200,0.244653,0
9,3,200,0.243076,0
10,3,200,0.296272,0
11,3,200,0.290198,0
12,3,200,0.430888,0
13,4,200,0.248436,0
14,4,200,0.251068,0
15,4,200,0.243909,0
16,4,200,0.264507,0
17,5,200,0.241588,0
18,5,200,0.305462,0
19,5,200,0.383397,0
20,5,200,0.260919,0
21,6,200,0.230075,0
22,6,200,0.261705,0
23,6,200,0.603641,0
24,6,200,0.304555,0
25,7,200,0.422642,0
26,7,200,0.290917,0
27,7,200,0.298132,0
28,7,200,0.363135,0
29,8,200,0.224451,0
30,8,200,0.355884,0
31,8,200,0.305466,0
32,8,200,0.227657,0
33,9,200,0.383759,0
34,9,200,0.251560,0
35,9,200,0.314684,0
36,9,200,0.386312,0
37,10,200,0.264293,0
38,10,200,0.230283,0
39,10,200,0.254361,0
40,10,200,0.230654,0
41,11,200,0.249394,0
42,11,200,0.180590,0
43,11,200,0.478930,0
44,11,200,0.303030,0
45,12,200,0.240434,0
46,12,200,0.254010,0
47,12,200,0.387836,0
48,12,200,0.298884,0
49,13,200,0.232535,0
50,13,200,0.263575,0
51,13,200,0.353577,0
52,13,200,0.212707,0
53,14,200,0.177568,0
54,14,200,0.228315,0
55,14,200,0.469977,0
56,14,200,0.242217,0
57,15,200,0.246282,0
58,15,200,0.208179,0
59,15,200,0.373532,0
60,15,200,0.212179,0
61,16,200,0.688944,0
62,16,200,0.227005,0
63,16,200,0.376065,0
64,16,200,0.253998,0
65,17,200,0.337425,0
66,17,200,0.306093,0
67,17,200,0.393882,0
68,17,200,0.318216,0
69,18,200,0.443494,0
70,18,200,0.457745,0
71,18,200,0.294225,0
72,18,200,0.258510,0
73,19,200,0.928262,0
74,19,200,0.209168,0
75,19,200,0.510438,0
76,19,200,0.590623,0
77,20,200,0.214666,0
78,20,200,0.286419,0
79,20,200,0.595399,0
80,20,200,0.529403,0
