1,1,200,3.032462,0
2,1,200,0.921706,0
3,1,200,1.975534,0
4,1,200,0.481222,0
5,2,200,0.300669,0
6,2,200,0.476512,0
7,2,200,0.534768,0
8,2,200,0.460312,0
9,3,200,0.370352,0
10,3,200,0.241519,0
11,3,200,0.583310,0
12,3,200,0.380817,0
13,4,200,0.253416,0
14,4,200,0.205191,0
15,4,200,0.296561,0
16,4,200,0.309106,0
17,5,200,0.285391,0
18,5,200,0.297832,0
19,5,200,0.402926,0
20,5,200,0.307830,0
21,6,200,0.253823,0
22,6,200,0.307926,0
23,6,200,0.410672,0
24,6,200,0.428539,0
25,7,200,0.354527,0
26,7,200,0.335695,0
27,7,200,0.344804,0
28,7,200,0.229026,0
29,8,200,0.421201,0
30,8,200,0.324951,0
31,8,200,0.429503,0
32,8,200,0.500201,0
33,9,200,0.292271,0
34,9,200,0.233552,0
35,9,200,0.353774,0
36,9,200,0.447630,0
37,10,200,0.262170,0
38,10,200,0.281562,0
39,10,200,0.492791,0
40,10,200,0.338329,0
41,11,200,0.274044,0
42,11,200,0.221065,0
43,11,200,0.324584,0
44,11,200,0.242650,0
45,12,200,0.356037,0
46,12,200,0.237832,0
47,12,200,0.433687,0
48,12,200,0.267014,0
49,13,200,0.417236,0
50,13,200,0.225076,0
51,13,200,0.427524,0
52,13,200,0.351771,0
53,14,200,0.188337,0
54,14,200,0.199470,0
55,14,200,0.318428,0
56,14,200,0.293178,0
57,15,200,0.197621,0
58,15,200,0.281661,0
59,15,200,0.530535,0
60,15,200,0.455569,0
61,16,200,0.278446,0
62,16,200,0.213000,0
63,16,200,0.331783,0
64,16,200,0.315692,0
65,17,200,0.265731,0
66,17,200,0.215597,0
67,17,200,0.248683,0
68,17,200,0.263281,0
69,18,200,0.200021,0
70,18,200,1.237505,0
71,18,200,0.453167,0
72,18,200,0.224733,0
73,19,200,0.597225,0
74,19,200,0.392363,0
75,19,200,1.294059,0
76,19,200,0.446799,0
77,20,200,0.311149,0
78,20,200,0.238753,0
79,20,200,0.375859,0
80,20,200,0.280804,0
